address,is_ponzi
15fcEUmKXBiScw2CDwKEre2YE8brvWPxVA,0
121E9w1ogmjowDbJmkmCuqqQGztJteR78A,0
12Hd6yd28NXoLuBYwqfncv3J7xXQnKKhGb,0
166uYUb7ogk1xyxSSYQzdXRefdbYJaMTjs,0
16Zf5yBa2BhitYZMdENxAfkPs244YTG7y4,0
17wLBifUVkmAovSbVGJcXTvsgUiSMa1rjx,0
1EyzXkzD4bRRJFwWs48rhtwe6WsE8bxARJ,0
14XDyg1YkQFEkjJEHGYS1x3MSGEnhhATtH,0
19QgdEbau15zQVNoTuMHtRRz4nsYv7mgSy,0
1PkiFqu4w85DDvZ1bTgyPKijw99bpHz3dD,0
18UGJzDev87mqZZxiAH3JyQNtXXpBT2HsS,0
1B7SvpLs2bmB8mGX2Bqdqn8UToTB1qgwUd,0
1MwLj2SfC1yEm8spki1d9SdhhXZR6gHprB,0
1BSmoCScpjyPbdnZV2ZUeCTX9Bae4VXiYS,0
1NkqZE4DA8h6Xbtz9GtJcfE1FcA8Z5yRJN,0
1Cz5hcRr2du74AF5MCvy8zKRFd4AyMBZjJ,0
1JUPzoHfzjrrFdQETfTixa6LXB4bH4BAC4,0
1GVjehxXUGK1hoV7Fq35PLu27o8nVpMwD7,0
1HjhBXfshDn73mKGLN9VAFDWD4vGTmbc3w,0
1FDDLBSKjg9exoEohjKznK6AX1hRMNEG94,0
1bxKRy21nwEUd7MaupgAC2rMJHSexE3PQ,0
13FvXaqpgqkNRmMd43JDdcYSJqRha32F8q,0
12Nz4NGjYPikWev6mEUd5S8fhynXaowge4,0
19sExim4VjwWLt8xAmiYqAm9kax44wZSKD,0
12QQ34rmJ68ooSEntKKhRQm5181vBnfsPK,0
16w9KgywKrdJaQMVQyWr313HLsxtJqJwat,0
169g8d2ocjasKr1WPM3PTeY31LECvogQB4,0
12WAu3D45TUVH8uPsVPNMN9DNpiDtmeENK,0
1DC4aQgLKCwgVfdyELAgFRURxo6rpQVKhX,0
1ENR3cKs3mcEyMBUSUfMrJRD8dMJZtkLUQ,0
12cU6GoRKxdWub61XQMPuLNkxmmqjnw2sJ,0
13QRsh88ewye6oAUzafZ6zZjtAV36JX14Q,0
1Pvt41pRmHF66RBA8hrHCQnmTJ5Rst7nqY,0
1Auvmqh2JEtJgMkNuujBCZR6vQCwDg2sgi,0
1AKPi9AvKftfRcw7FwESgf944frtuTyC3N,0
1C5auooyYS9dSrkzv5Y56u8zFDAWsucEna,0
1Kbx1Bfh4xnhRCoL7mpHs63Vks3p54DTTw,0
15ma5jJto3voRxBbweeBQuR9JWk4PSSHsg,0
16uoU4XVnCnwXUE42ALj1K3X72JPeF2d48,0
1Bf9ChN9Ck1aBKBdj7aTxyenxzHRHsTUSc,0
19itXj5FjgJG9cjebgTqCg5YW9oBjksEwN,0
1AoaLZMw5pyEBz3AAdosguHkLEZcNy1ZYn,0
1Mc57132WGeake8gBxGtCFtBzHkR1HAuey,0
13kagwRD3GtF6f7oL9rhC42HYCUT5S5yJY,0
1M2TE9WwayxZMyXsv4NDSx5i4WCFJwq9NE,0
16EeLa9BrZc1A4sasztaRdnfp3aU8DmuVC,0
1JEiqUSeUgfMPgoUvifWaqjUXZem4oDARa,0
1CSeF9fZiggN34CH9UE9MtsTfWRKaKQowS,0
1C44dqdpCh9ZPuLg4ayRbdaHegs5muVy22,0
1AjNKjzGtrnrziEzkypuU5aSRRK8cMm5UB,0
1WLSx7PP1uDavVVAn5UREMAkXxB6NPCUs,0
